;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11
N45;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N46;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N47;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N48;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N49;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N50;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N51;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N52;1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 1; 
N53;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N54;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N55;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N56;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N57;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N58;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N59;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N60;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N61;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N62;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N63;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N64;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N65;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N66;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N67;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
N68;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N69;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N70;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N71;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N72;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N73;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N74;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N75;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N76;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N77;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N78;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N79;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N80;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N81;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N82;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N83;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
N84;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N85;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N86;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N87;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N88;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N89;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N90;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N91;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N92;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
N93;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N94;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
N95;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N96;1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
N97;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N98;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
N99;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
N100;1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
N101;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 
N102;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
N103;1; 1; 0; 1; 1; 1; 0; 0; 1; 0; 0; 
N104;1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
N105;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N106;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
N107;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N108;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N109;1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 
N110;1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
N111;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N112;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N113;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N114;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N115;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N116;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N117;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
N118;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N119;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N120;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
N121;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N122;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N123;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N124;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N125;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N126;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N127;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N128;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N129;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
N130;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N131;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N132;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N133;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N134;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N135;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N136;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
N137;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N138;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N139;1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
N140;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N141;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N142;1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
N143;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
N144;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
N145;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
N146;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
N147;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N148;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N149;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N150;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N151;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N152;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N153;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N154;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N155;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
N156;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N157;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N158;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N159;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N160;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N161;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N162;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N163;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N164;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N165;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N166;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N167;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N168;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N169;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
N170;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N171;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N172;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N173;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N174;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
N175;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N176;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N177;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N178;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N179;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N180;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N181;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N182;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
N183;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
